==PROF== Connected to process 9460 (/home/shivam/GPU-Memory-Profiling-Optimization-Toolkit/gpuopt/build/transpose_naive)
==PROF== Disconnected from process 9460
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","hz","6,988,847,583.64",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","hz","1,544,074,794.76",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","212,705",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","67.27",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","13.63",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","ns","137,728",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","83.46",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","67.27",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","200,359.79",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","5.14",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","Memory is more heavily utilized than Compute: Look at the Memory Workload Analysis section to identify the L2 bottleneck. Check memory replay (coalescing) metrics to make sure you're efficiently utilizing the bytes transferred. Also consider whether it is possible to do more work per memory access (kernel fusion) or whether there are values you can (re)compute.","",""
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","Launch Statistics","Block Size","","1,024",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"0","9460","transpose_naive","127.0.0.1","transpose_naive(const float *, float *, int, int)","1","7","(32, 32, 1)","(32, 32, 1)","0","8.9","Launch Statistics","Grid Size","","1,024",
